id	Accession	Gene.name	Protein.description	Protein.IDs	Majority.protein.IDs	Fasta.headers	Number.of.proteins	Peptides	Razor.and.unique.peptides	Unique.peptides	Sequence.coverage.percent	Mol.weight.kDa	Sequence.length	Q.value	Score	Intensity	MS.MS.count	Mock_01	Mock_02	Mock_03	BTX_01	BTX_02	BTX_03	Mock_01.norm	Mock_02.norm	Mock_03.norm	BTX_01.norm	BTX_02.norm	BTX_03.norm	log2FC	p.mod	p.adj.BH	Candidate
69	A1L1I3	Numbl	Numb-like protein	sp|A1L1I3|NUMBL_RAT;tr|A0A0G2K9C5|A0A0G2K9C5_RAT	sp|A1L1I3|NUMBL_RAT;tr|A0A0G2K9C5|A0A0G2K9C5_RAT	sp|A1L1I3|NUMBL_RAT Numb-like protein OS=Rattus norvegicus OX=10116 GN=Numbl PE=1 SV=1;tr|A0A0G2K9C5|A0A0G2K9C5_RAT Numb-like protein OS=Rattus norvegicus OX=10116 GN=Numbl PE=1 SV=1	2	5	5	5	7.7	65.512	614	0	29.465	53144000	8	13.5572243494544	13.2498097376926	13.3285346896568	13.3200953848611	13.278304252137	13.5627194270493	0.033810470715434	-0.0844387981995525	0.0181516596524842	-0.0238081069847642	0.125379232299924	-0.0187501393691914	-0.0384325512592008	0.526772791437132	0.73842057823856	FALSE
71	A2RRU1	Gys1	Glycogen [starch] synthase, muscle	sp|A2RRU1|GYS1_RAT;tr|D4A5K9|D4A5K9_RAT;sp|P17625|GYS2_RAT	sp|A2RRU1|GYS1_RAT	sp|A2RRU1|GYS1_RAT Glycogen [starch] synthase, muscle OS=Rattus norvegicus OX=10116 GN=Gys1 PE=1 SV=1	3	5	5	5	11.1	84.071	738	0	35.472	17030000	5	13.6740818986363	13.4898479604393	13.3492812288175	13.4696418172395	13.1425538405603	13.6492561775173	0.0538590668127593	0.0587904714626137	-0.0579107542714051	0.0289293723090978	-0.107180132361343	-0.0290223419857483	0.0540039620139872	0.345745900447766	0.606018278556721	FALSE
72	A2RUW1	Tollip	Toll-interacting protein	sp|A2RUW1|TOLIP_RAT	sp|A2RUW1|TOLIP_RAT	sp|A2RUW1|TOLIP_RAT Toll-interacting protein OS=Rattus norvegicus OX=10116 GN=Tollip PE=1 SV=1	1	5	5	5	25.5	30.314	274	0	33.554	68601000	8	13.595257481449	13.5637921071242	13.4372319010395	13.3862666867702	13.1921078417106	13.2718277408625	0.0145913454786264	0.172291314000653	0.069596613803777	-0.0148890623070838	-0.0180694353578985	-0.366894082787378	0.218777284578472	0.0793168886916466	0.309767139760284	FALSE
73	D4ACE9	Aass	Alpha-aminoadipic semialdehyde synthase, mitochondrial	tr|D4ACE9|D4ACE9_RAT;sp|A2VCW9|AASS_RAT	tr|D4ACE9|D4ACE9_RAT;sp|A2VCW9|AASS_RAT	tr|D4ACE9|D4ACE9_RAT Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aass PE=1 SV=3;sp|A2VCW9|AASS_RAT Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aass PE=2 SV=1	2	4	4	4	4.9	103.11	926	0	22.512	26705000	4	13.7456743240021	13.6793701338024	13.6342438415775	13.6537407787066	13.4777582664439	13.7679775016039	-0.0939575757345902	0.0289035769125196	0.00764279057545164	-0.00638073413701035	0.00861522560906758	-0.12971008581231	0.0233547953645447	0.685546758873231	0.84134555773272	FALSE
74	A2VCX1	Tiprl	TIP41-like protein	sp|A2VCX1|TIPRL_RAT	sp|A2VCX1|TIPRL_RAT	sp|A2VCX1|TIPRL_RAT TIP41-like protein OS=Rattus norvegicus OX=10116 GN=Tiprl PE=1 SV=1	1	6	6	6	25.5	31.224	271	0	46.349	119620000	7	15.9389592878936	15.744571085019	15.694194627942	15.8090646936471	15.8040301581049	16.1174198949152	-0.0249567547375351	-0.0301796147652904	-0.0566905659544496	0.0246590379090778	0.21060297437567	0.0954481646045585	-0.147512370782194	0.0306613336541523	0.209777153527525	FALSE
75	A2VD12	Pbxip1	Pre-B-cell leukemia transcription factor-interacting protein 1	sp|A2VD12|PBIP1_RAT	sp|A2VD12|PBIP1_RAT	sp|A2VD12|PBIP1_RAT Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Rattus norvegicus OX=10116 GN=Pbxip1 PE=1 SV=1	1	8	8	8	13.3	80.275	722	0	61.131	81174000	9	15.8036014113346	15.5609000075978	15.5504461926036	15.6084569792039	15.5409453180875	15.9507836922007	0.00766816420456795	-0.0458678966853394	-0.0324562057918034	-0.00796588103302531	0.115500929859318	0.0967947573911674	-0.0916619148300115	0.0840217886858989	0.316904097965993	FALSE
76	A4F267	Tomm40l	Mitochondrial import receptor subunit TOM40B	sp|A4F267|TM40L_RAT	sp|A4F267|TM40L_RAT	sp|A4F267|TM40L_RAT Mitochondrial import receptor subunit TOM40B OS=Rattus norvegicus OX=10116 GN=Tomm40l PE=1 SV=1	1	3	3	3	11.4	34.048	308	0	25.794	22344000	3	13.6326544701095	13.1585465768148	12.899866685812	13.0914353863236	12.7238955445753	13.2570047232907	0.397660580857158	0.112718030409354	-0.122096354705622	0.0359518839644328	-0.140609485775088	-0.0360448536410834	0.176328237337543	0.222217948322988	0.48877382654586	FALSE
77	A5I4Z5	alaS	Alanine--tRNA ligase	sp|A5I4Z5|SYA_CLOBH	sp|A5I4Z5|SYA_CLOBH	sp|A5I4Z5|SYA_CLOBH Alanine--tRNA ligase OS=Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A) OX=441771 GN=alaS PE=3 SV=1	1	2	2	2	1	99.313	879	0.0011873	11.371	2916300000	5	16.3247958396127	15.8106971421437	15.7997622374061	16.1200960960986	15.8078077058867	16.2551945823536	0.13671842769147	-0.188214926930641	-0.175284325780427	0.111529071070482	-0.00978084713265193	0.00906148275284907	-0.112530177236759	0.278008546987874	0.545775543225155	FALSE
78	A5I524	arcB	Ornithine carbamoyltransferase	sp|A5I524|OTC_CLOBH	sp|A5I524|OTC_CLOBH	sp|A5I524|OTC_CLOBH Ornithine carbamoyltransferase OS=Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A) OX=441771 GN=arcB PE=3 SV=1	1	14	14	14	45.6	37.23	333	0	190.17	487270000	25	17.4030786161592	16.3701935751754	16.4776634157382	18.087835732376	17.932549268552	18.2776234037356	-0.409323676440244	-1.25304337457718	-1.12170802812653	0.45494382666965	0.490635834854448	0.407165423456638	-1.37894005470823	0.000523632408953031	0.0180913228141389	FALSE
81	A6JUQ6	Clvs2	Clavesin-2	sp|A6JUQ6|CLVS2_RAT	sp|A6JUQ6|CLVS2_RAT	sp|A6JUQ6|CLVS2_RAT Clavesin-2 OS=Rattus norvegicus OX=10116 GN=Clvs2 PE=1 SV=1	1	5	4	3	21.4	37.916	327	0	75.409	34952000	3	14.3998119593257	14.3248837171941	14.2715359778723	14.2253580864545	13.9788891763616	14.3573458120486	-0.00267711542521543	0.111559985290073	0.0820777518561325	0.00237939859675806	-0.0531110394874241	-0.103198950381812	0.114963737664489	0.0490866789925341	0.257679905141949	FALSE
82	A8WCF8	Tprg1l	Tumor protein p63-regulated gene 1-like protein	sp|A8WCF8|TPRGL_RAT;tr|A0A0G2K272|A0A0G2K272_RAT	sp|A8WCF8|TPRGL_RAT	sp|A8WCF8|TPRGL_RAT Tumor protein p63-regulated gene 1-like protein OS=Rattus norvegicus OX=10116 GN=Tprg1l PE=1 SV=1	2	5	5	5	25.6	29.844	266	0	93.023	171480000	6	11.7705400156717	11.5018371849023	11.1506992887445	11.3954270271775	11.3096468750919	11.8375490952228	0.0853686043373013	0.00583111641474393	-0.321441273855185	-0.110233997263742	-0.00503567734060295	0.0943219962088275	-0.0697646249025407	0.561795698084377	0.761468811054597	FALSE
83	A9CMA6	Tmem163	Transmembrane protein 163	sp|A9CMA6|TM163_RAT	sp|A9CMA6|TM163_RAT	sp|A9CMA6|TM163_RAT Transmembrane protein 163 OS=Rattus norvegicus OX=10116 GN=Tmem163 PE=1 SV=1	1	5	5	5	25.7	31.344	288	0	157.35	236620000	8	15.7653638057145	15.5468040475225	15.4204537162668	15.5690248704076	15.4665544757278	15.8396712888604	0.00826541579267648	-0.0211289995524663	-0.123613824920337	-0.00856313262113384	0.0799449447078466	0.0245172112590762	-0.0774588106753051	0.157820999511705	0.420177745678221	FALSE
84	B0BN18	Pfdn2	Prefoldin subunit 2	sp|B0BN18|PFD2_RAT	sp|B0BN18|PFD2_RAT	sp|B0BN18|PFD2_RAT Prefoldin subunit 2 OS=Rattus norvegicus OX=10116 GN=Pfdn2 PE=2 SV=1	1	5	5	5	35.1	16.58	154	0	39.382	123500000	7	15.4657576971622	15.2752515434703	15.1647498302481	15.3120320587449	15.0336810942137	15.4867407657593	0.0189873637747962	0.0176465529297725	-0.06898965440458	0.0447721122505719	-0.0426003802718415	-0.0180852553076278	-0.00548073812370463	0.902935454665992	0.957412946796032	FALSE
85	B0BN56	Mrps31	28S ribosomal protein S31, mitochondrial	sp|B0BN56|RT31_RAT	sp|B0BN56|RT31_RAT	sp|B0BN56|RT31_RAT 28S ribosomal protein S31, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mrps31 PE=2 SV=1	1	7	7	7	20.9	43.961	387	0	48.534	78247000	8	11.8148628069425	11.5249823895923	11.7279629862193	11.6379380349459	11.640561282028	12.1837904349465	-0.0637272932348053	-0.164442367738098	0.0624037347767216	-0.0611416783382803	0.132460040752606	0.247144647089724	-0.16140964523341	0.133640337745256	0.389682297929059	FALSE
86	B0BN72	Mcrip1	Mapk-regulated corepressor-interacting protein 1	sp|B0BN72|MCRI1_RAT	sp|B0BN72|MCRI1_RAT	sp|B0BN72|MCRI1_RAT Mapk-regulated corepressor-interacting protein 1 OS=Rattus norvegicus OX=10116 GN=Mcrip1 PE=1 SV=1	1	2	2	2	29.9	11.101	97	0.00060809	11.885	4985300	2	11.7996458924596	12.0121356435835	11.9091805584238	11.9122157217658	11.5180137830844	12.1108421445503	-0.272656875143629	0.128998218827215	0.0499086395552712	0.0194233410557503	-0.183800125616874	-0.0195163107324008	0.0300476928441273	0.800343686551938	0.902503597395086	FALSE
87	B0BN85	Sugt1	Protein SGT1 homolog	sp|B0BN85|SGT1_RAT;tr|F1LMY6|F1LMY6_RAT	sp|B0BN85|SGT1_RAT	sp|B0BN85|SGT1_RAT Protein SGT1 homolog OS=Rattus norvegicus OX=10116 GN=Sugt1 PE=2 SV=1	2	5	5	5	18.2	38.09	336	0	61.557	75432000	7	15.8675924608756	15.7008189826362	15.6745233260217	15.7394641945859	15.6230241208548	16.0215656111261	-0.0361760757167968	-0.0137842111093293	-0.0162143618360708	0.0152060448866226	0.089744443164216	0.0597413868541188	-0.0769555078557181	0.0680956797810765	0.297210206072228	FALSE
88	A0A0G2JUS7	Tmem11	Transmembrane protein 11, mitochondrial	tr|A0A0G2JUS7|A0A0G2JUS7_RAT;sp|B0BN86|TMM11_RAT	tr|A0A0G2JUS7|A0A0G2JUS7_RAT;sp|B0BN86|TMM11_RAT	tr|A0A0G2JUS7|A0A0G2JUS7_RAT Transmembrane protein 11, mitochondrial OS=Rattus norvegicus OX=10116 GN=Tmem11 PE=1 SV=1;sp|B0BN86|TMM11_RAT Transmembrane protein 11, mitochondrial OS=Rattus norvegicus OX=10116 GN=Tmem11 PE=2 SV=1	2	4	4	4	22.7	19.834	176	0	44.509	290980000	4	15.3583764803282	15.0781925131633	15.0562990145503	15.0960562391809	15.0850989566444	15.4874318320262	0.0412560687128449	-0.049762555605201	-0.0477905483303495	-0.0415537855413023	0.138467403930921	0.11225573273132	-0.0884887954478815	0.181763333529609	0.447500785381392	FALSE
89	B0BN93	Psmd13	26S proteasome non-ATPase regulatory subunit 13	sp|B0BN93|PSD13_RAT	sp|B0BN93|PSD13_RAT	sp|B0BN93|PSD13_RAT 26S proteasome non-ATPase regulatory subunit 13 OS=Rattus norvegicus OX=10116 GN=Psmd13 PE=1 SV=1	1	7	7	7	23.1	42.817	376	0	64.549	75047000	7	15.4064707685293	15.2536259238965	15.110116227407	15.2277287435582	15.2930405002447	15.5719007443774	-0.0184819738718559	0.0178385243421939	-0.101805666259436	-0.0177136119497785	0.238576616745495	0.088892314296729	-0.137401478293848	0.103438720036972	0.347765619978998	FALSE
90	B0BN94	Fam136a	Protein FAM136A	sp|B0BN94|F136A_RAT	sp|B0BN94|F136A_RAT	sp|B0BN94|F136A_RAT Protein FAM136A OS=Rattus norvegicus OX=10116 GN=Fam136a PE=1 SV=1	1	3	3	3	18.1	15.625	138	0	18.001	88073000	4	16.0180697460512	15.7382506264083	15.5214777563578	15.6567320960018	15.3703809105211	15.9486409964182	0.154609365396062	0.0639555886000164	-0.128951775562653	-0.0272178977602098	-0.122590611232142	0.0271249280835592	0.0707655864474061	0.414520837285248	0.658133996343324	FALSE
91	B0BNA5	Cotl1	Coactosin-like protein	sp|B0BNA5|COTL1_RAT	sp|B0BNA5|COTL1_RAT	sp|B0BNA5|COTL1_RAT Coactosin-like protein OS=Rattus norvegicus OX=10116 GN=Cotl1 PE=1 SV=1	1	10	10	10	55.6	15.932	142	0	61.205	542210000	12	16.4971969382475	16.0887882387169	16.0361736125535	16.2774508711185	16.2393001743642	16.6055518593481	0.0199689817036797	-0.199274374979997	-0.228023495255595	-0.020266698532137	0.13256107672232	0.070268215124816	-0.196630493948971	0.0430819272185098	0.238411864693168	FALSE
92	B0BNA7	Eif3i	Eukaryotic translation initiation factor 3 subunit I	sp|B0BNA7|EIF3I_RAT;tr|M0RCH0|M0RCH0_RAT	sp|B0BNA7|EIF3I_RAT;tr|M0RCH0|M0RCH0_RAT	sp|B0BNA7|EIF3I_RAT Eukaryotic translation initiation factor 3 subunit I OS=Rattus norvegicus OX=10116 GN=Eif3i PE=2 SV=1;tr|M0RCH0|M0RCH0_RAT Eukaryotic translation initiation factor 3 subunit I OS=Rattus norvegicus OX=10116 GN=EIF3I PE=3 SV=2	2	3	3	3	12	36.46	325	0	22.51	33299000	5	14.2609195336629	14.1275913672993	14.0516338003109	13.9881520976905	13.8071536391775	14.2705873404475	0.0231148139556432	0.0789519904388719	0.0268599293383039	-0.0701422351235749	-0.0601622216278694	-0.0252730669392491	0.0948347524745041	0.0331875361564073	0.216695069331571	FALSE
93	B0BND0	Enpp6	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6	sp|B0BND0|ENPP6_RAT;tr|D3ZRI1|D3ZRI1_RAT	sp|B0BND0|ENPP6_RAT;tr|D3ZRI1|D3ZRI1_RAT	sp|B0BND0|ENPP6_RAT Ectonucleotide pyrophosphatase/phosphodiesterase family member 6 OS=Rattus norvegicus OX=10116 GN=Enpp6 PE=1 SV=1;tr|D3ZRI1|D3ZRI1_RAT Ectonucleotide pyrophosphatase/phosphodiesterase 6 (Predicted), isoform CRA_a OS=Rattus norvegicus OX	2	10	10	10	30.2	50.701	440	0	122.22	181900000	15	16.2057168981473	16.117703969889	16.1285784039684	16.0792764313517	15.8711833246251	16.3761593122935	-0.0764002504544179	0.0247521641341831	0.0594921041013435	-0.0233303303568898	-0.0404449650746903	0.0359864760122287	0.0118776124001534	0.811982759844254	0.910346467093795	FALSE
94	B0BNE5	Esd	S-formylglutathione hydrolase	sp|B0BNE5|ESTD_RAT	sp|B0BNE5|ESTD_RAT	sp|B0BNE5|ESTD_RAT S-formylglutathione hydrolase OS=Rattus norvegicus OX=10116 GN=Esd PE=2 SV=1	1	7	7	7	31.6	31.363	282	0	60.719	65539000	8	15.251408439536	15.1863464142664	15.0187217919702	15.0185044760734	14.8649599151426	15.4898479604393	0.00751777697993605	0.131621094557255	-0.0121380218511645	-0.0458757995894548	-0.0084418885115457	0.187901610203749	-0.00219435747224068	0.977371692066068	0.988796851799805	FALSE
95	A0A0A0MXU4	Emc2	ER membrane protein complex subunit 2	tr|A0A0A0MXU4|A0A0A0MXU4_RAT;sp|B0BNG0|EMC2_RAT	tr|A0A0A0MXU4|A0A0A0MXU4_RAT;sp|B0BNG0|EMC2_RAT	tr|A0A0A0MXU4|A0A0A0MXU4_RAT ER membrane protein complex subunit 2 OS=Rattus norvegicus OX=10116 GN=Emc2 PE=4 SV=2;sp|B0BNG0|EMC2_RAT ER membrane protein complex subunit 2 OS=Rattus norvegicus OX=10116 GN=Emc2 PE=2 SV=1	2	4	4	4	17.6	34.513	296	0	29.425	29515000	5	14.698270577692	14.5276602636079	14.5439984501345	14.5776058494525	14.4120405145517	14.8143321153684	-0.0581711616961797	-0.0396161329334173	0.000587559481037558	0.000674496957403736	0.0260876340653423	-0.000165311699290405	-0.0412655181573384	0.263951853885071	0.533150021627727	FALSE
96	B0BNM1	Naxe	NAD(P)H-hydrate epimerase	sp|B0BNM1|NNRE_RAT	sp|B0BNM1|NNRE_RAT	sp|B0BNM1|NNRE_RAT NAD(P)H-hydrate epimerase OS=Rattus norvegicus OX=10116 GN=Naxe PE=2 SV=1	1	7	7	7	22.3	30.89	282	0	75.396	482100000	16	16.8920209690754	16.7886418735361	16.7334390828994	16.8091400780972	16.7080600322024	17.0051420498218	-0.0706451713761229	0.0151410759313946	-0.0161962088173992	0.0259843245387778	0.115882750652721	-0.0155797783092499	-0.0659958670481254	0.211512310626049	0.478983327147681	FALSE
97	B0BNM9	GLTP	Glycolipid transfer protein	sp|B0BNM9|GLTP_RAT	sp|B0BNM9|GLTP_RAT	sp|B0BNM9|GLTP_RAT Glycolipid transfer protein OS=Rattus norvegicus OX=10116 GN=GLTP PE=2 SV=1	1	5	5	5	24.9	23.703	209	0	41.504	100770000	6	14.7471964588708	14.5969467859921	14.5450851351563	14.6400189324558	14.5026453651976	14.9729797860663	-0.0549133483345428	-0.0159976783663218	-0.0439938233143573	0.017419512143615	0.0710244168941481	0.112814291181478	-0.105387690078154	0.0315700483302409	0.213307647613734	FALSE
98	B0K020	Cisd1	CDGSH iron-sulfur domain-containing protein 1	sp|B0K020|CISD1_RAT	sp|B0K020|CISD1_RAT	sp|B0K020|CISD1_RAT CDGSH iron-sulfur domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Cisd1 PE=3 SV=1	1	8	8	8	53.7	12.097	108	0	116.18	2816500000	27	18.1476322473338	17.9299518453439	17.8940953825311	17.9789115144619	17.7346302444155	18.2451162814499	0.0139358048066974	-0.0145792543363595	-0.0265702112613171	0.0247254588279571	-0.0285773392097176	0.0533641512432958	-0.0255753105508382	0.511599559034714	0.727334312844532	FALSE
