id	Accession	Gene.name	Protein.description	Protein.IDs	Majority.protein.IDs	Fasta.headers	Number.of.proteins	Peptides	Razor.and.unique.peptides	Unique.peptides	Sequence.coverage.percent	Mol.weight.kDa	Sequence.length	Q.value	Score	Intensity	MS.MS.count	Mock_01	Mock_02	Mock_03	BoNT_01	BoNT_02	BoNT_03	Mock_01.norm	Mock_02.norm	Mock_03.norm	BoNT_01.norm	BoNT_02.norm	BoNT_03.norm	log2FC	p.mod	p.adj.BH	Candidate
85	A0A0G2JYU0	Rbfox1	RNA binding protein fox-1 homolog	tr|A0A0G2JYU0|A0A0G2JYU0_RAT;tr|A0A0G2JYY7|A0A0G2JYY7_RAT;tr|D3ZSL1|D3ZSL1_RAT;sp|A1A5R1|RFOX2_RAT	tr|A0A0G2JYU0|A0A0G2JYU0_RAT;tr|A0A0G2JYY7|A0A0G2JYY7_RAT;tr|D3ZSL1|D3ZSL1_RAT;sp|A1A5R1|RFOX2_RAT	tr|A0A0G2JYU0|A0A0G2JYU0_RAT RNA binding protein fox-1 homolog OS=Rattus norvegicus OX=10116 GN=Rbfox1 PE=4 SV=1;tr|A0A0G2JYY7|A0A0G2JYY7_RAT RNA binding protein fox-1 homolog OS=Rattus norvegicus OX=10116 GN=Rbfox2 PE=4 SV=1;tr|D3ZSL1|D3ZSL1_RAT RNA bindi	4	2	2	2	2.9	40.558	376	0	2.5164	11977000	2	9.6720363276302	10.1594929580445	9.99985910493266	10.1232161116663	10.2610371079298	10.0525680508042	-0.418608992739941	0.162989919998009	-0.110877727693684	0.000156338721826854	-0.000118163439497887	0.240087017012463	-0.202207330910136	0.237445302760507	0.999354675409622	FALSE
86	A1L108	Arpc5l	Actin-related protein 2/3 complex subunit 5-like protein	sp|A1L108|ARP5L_RAT	sp|A1L108|ARP5L_RAT	sp|A1L108|ARP5L_RAT Actin-related protein 2/3 complex subunit 5-like protein OS=Rattus norvegicus OX=10116 GN=Arpc5l PE=1 SV=2	1	4	4	4	34	17.01	153	0	119.87	619330000	5	16.6103616416805	16.4478096872237	16.6719003689069	16.6814031437369	16.7570774332543	16.200611293806	0.0116387916313424	-0.0567708805017834	0.0530860066016117	0.050265841113474	-0.0121553677939669	-0.119947269664691	0.0299302380254516	0.640920331865613	0.999354675409622	FALSE
87	A1L1I3	Numbl	Numb-like protein	sp|A1L1I3|NUMBL_RAT;tr|A0A0G2K9C5|A0A0G2K9C5_RAT	sp|A1L1I3|NUMBL_RAT;tr|A0A0G2K9C5|A0A0G2K9C5_RAT	sp|A1L1I3|NUMBL_RAT Numb-like protein OS=Rattus norvegicus OX=10116 GN=Numbl PE=1 SV=1;tr|A0A0G2K9C5|A0A0G2K9C5_RAT Numb-like protein OS=Rattus norvegicus OX=10116 GN=Numbl PE=1 SV=1	2	6	6	6	10.7	65.512	614	0	24.248	270630000	7	14.6144222885461	14.4628217568515	14.4283601727043	14.501961549804	14.656257254211	14.4639713147138	0.0943817963174432	0.036923546946447	-0.111771831780587	-0.0504933949990213	-0.0342931890168372	0.222095109063587	-0.0392583378548085	0.692308558199604	0.999354675409622	FALSE
90	A2RUW1	Tollip	Toll-interacting protein	sp|A2RUW1|TOLIP_RAT	sp|A2RUW1|TOLIP_RAT	sp|A2RUW1|TOLIP_RAT Toll-interacting protein OS=Rattus norvegicus OX=10116 GN=Tollip PE=1 SV=1	1	5	5	5	21.9	30.314	274	0	16.62	247030000	6	13.292321632802	13.2774762982742	13.6368511566265	13.5432735384498	13.6470086384416	12.9358832710342	-0.130421822253331	-0.0511248744575328	0.194016189314963	0.0881156308201262	0.0537552323871426	-0.208695897442697	0.0264315089465093	0.826342053403381	0.999354675409622	FALSE
91	D4ACE9	Aass	Alpha-aminoadipic semialdehyde synthase, mitochondrial	tr|D4ACE9|D4ACE9_RAT;sp|A2VCW9|AASS_RAT	tr|D4ACE9|D4ACE9_RAT;sp|A2VCW9|AASS_RAT	tr|D4ACE9|D4ACE9_RAT Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aass PE=1 SV=3;sp|A2VCW9|AASS_RAT Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aass PE=2 SV=1	2	3	3	3	3.3	103.11	926	0	4.5071	64009000	3	10.7880657509578	10.7987957838205	10.8462739113499	11.1556404639088	10.7935220283959	10.6667565918848	-0.0710037991138754	0.0338685160724208	-0.0328871509779634	0.264156461262831	-0.236057472674873	0.0858513283915869	-0.0613242503329875	0.644048050293038	0.999354675409622	FALSE
92	A2VCX1	Tiprl	TIP41-like protein	sp|A2VCX1|TIPRL_RAT	sp|A2VCX1|TIPRL_RAT	sp|A2VCX1|TIPRL_RAT TIP41-like protein OS=Rattus norvegicus OX=10116 GN=Tiprl PE=1 SV=1	1	6	6	6	31.4	31.224	271	0	50.298	321950000	6	14.8792003179474	15.0165036324134	15.0987312125674	15.1394714136238	15.2918901403386	14.52055729842	-0.214453421509394	0.0169921752802065	-0.0150140391455539	0.0134032215927304	0.0277264498826378	-0.294932154458379	0.0137757325360896	0.904065329646832	0.999354675409622	FALSE
93	A2VD12	Pbxip1	Pre-B-cell leukemia transcription factor-interacting protein 1	sp|A2VD12|PBIP1_RAT	sp|A2VD12|PBIP1_RAT	sp|A2VD12|PBIP1_RAT Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Rattus norvegicus OX=10116 GN=Pbxip1 PE=1 SV=1	1	7	7	7	9.8	80.275	722	0	22.512	117210000	9	14.273577080792	14.065752701817	14.1008265708957	14.1852626124032	14.4130989849153	14.0987723272895	0.0736502507284162	-0.040031845922953	-0.119191771424027	-0.0470786702346356	0.0426622038525628	0.177009783804415	-0.0860555613469687	0.316610110265376	0.999354675409622	FALSE
94	A4F267	Tomm40l	Mitochondrial import receptor subunit TOM40B	sp|A4F267|TM40L_RAT	sp|A4F267|TM40L_RAT	sp|A4F267|TM40L_RAT Mitochondrial import receptor subunit TOM40B OS=Rattus norvegicus OX=10116 GN=Tomm40l PE=1 SV=1	1	5	5	5	29.2	34.048	308	0	50.434	70763000	6	13.5677184578508	13.6281037367695	13.8891236562942	13.3162815317462	13.5350323145293	13.2770984772501	0.0061747338509216	0.160702295093337	0.307488420038205	-0.277676644827919	-0.197021360469698	-0.00628096017133245	0.318448138150471	0.0203807193775156	0.999354675409622	FALSE
95	A5HYC0	pgk	Phosphoglycerate kinase	sp|A5HYC0|PGK_CLOBH	sp|A5HYC0|PGK_CLOBH	sp|A5HYC0|PGK_CLOBH Phosphoglycerate kinase OS=Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A) OX=441771 GN=pgk PE=3 SV=1	1	4	4	4	13.8	43.062	398	0	94.09	92288000	4	12.8624630149175	12.5663870757601	13.2430698247493	13.1775752609146	13.4202234193486	12.617008227652	-0.157479383805626	-0.359413040639331	0.203035913769991	0.125218409617223	0.229771069626412	-0.124769884492681	-0.18135870180864	0.303912738959735	0.999354675409622	FALSE
98	A5I524	arcB	Ornithine carbamoyltransferase	sp|A5I524|OTC_CLOBH	sp|A5I524|OTC_CLOBH	sp|A5I524|OTC_CLOBH Ornithine carbamoyltransferase OS=Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A) OX=441771 GN=arcB PE=3 SV=1	1	15	15	15	51.4	37.23	333	0	273.72	3382600000	32	18.0116531335905	17.4782482291047	18.7858674898038	18.7756167103259	18.9285935522192	17.5523989270921	-0.366671917296632	-0.805934539458783	0.387450926660499	0.364877206864507	0.379758550332917	-0.547761837216602	-0.327343150025246	0.416122299723135	0.999354675409622	FALSE
101	A5I6W1	clpP	ATP-dependent Clp protease proteolytic subunit	sp|A5I6W1|CLPP_CLOBH	sp|A5I6W1|CLPP_CLOBH	sp|A5I6W1|CLPP_CLOBH ATP-dependent Clp protease proteolytic subunit OS=Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A) OX=441771 GN=clpP PE=3 SV=1	1	4	4	4	20.1	21.503	194	0	12.146	239430000	4	15.2327956434299	14.6454332751643	15.8646456209315	15.9681492667192	16.0144782161712	14.9907244588003	-0.322769532148436	-0.815989618090475	0.28898893309693	0.38016963856656	0.288403089593645	-0.286676430199602	-0.410555505034195	0.231781566051532	0.999354675409622	FALSE
102	A5I6X1	pyrB	Aspartate carbamoyltransferase	sp|A5I6X1|PYRB_CLOBH	sp|A5I6X1|PYRB_CLOBH	sp|A5I6X1|PYRB_CLOBH Aspartate carbamoyltransferase OS=Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A) OX=441771 GN=pyrB PE=3 SV=1	1	5	5	5	18.9	34.979	307	0	15.75	51755000	6	12.5984014970687	12.2873083683738	12.7227221620733	12.8142620094321	12.830832073888	12.1054502295626	-0.0312186009913987	-0.248169447362691	0.073010551757013	0.152227458797647	0.0307020248287743	-0.246005581919035	-0.0477671327681546	0.720467093742803	0.999354675409622	FALSE
103	A5I705	pgi	Glucose-6-phosphate isomerase	sp|A5I705|G6PI_CLOBH	sp|A5I705|G6PI_CLOBH	sp|A5I705|G6PI_CLOBH Glucose-6-phosphate isomerase OS=Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A) OX=441771 GN=pgi PE=3 SV=1	1	5	5	5	16	50.476	450	0	77.24	62642000	6	13.6351512683176	13.1617302568188	13.9841514002052	14.3151495622563	14.0742251045209	13.3404064908533	-0.134540230683375	-0.513818959858556	0.194368388948037	0.513043610681028	0.13402365452075	-0.15112072156922	-0.316645781742151	0.215167029345507	0.999354675409622	FALSE
104	A5I723	groL	60 kDa chaperonin	sp|A5I723|CH60_CLOBH	sp|A5I723|CH60_CLOBH	sp|A5I723|CH60_CLOBH 60 kDa chaperonin OS=Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A) OX=441771 GN=groL PE=3 SV=1	1	21	21	21	47.7	57.922	541	0	306.83	1444400000	30	17.6282746485759	17.4692125312541	18.1229796153828	18.1120219998937	18.2603590871201	17.334727199067	-0.22656380458783	-0.291483639585995	0.248049649962877	0.224769094155705	0.235010682957311	-0.241946967518203	-0.162610201268587	0.424873029999439	0.999354675409622	FALSE
106	F1LRF3	Clvs1	Clavesin-1	tr|F1LRF3|F1LRF3_RAT;tr|A0A0G2K5H2|A0A0G2K5H2_RAT;sp|A6JFQ6|CLVS1_RAT	tr|F1LRF3|F1LRF3_RAT;tr|A0A0G2K5H2|A0A0G2K5H2_RAT;sp|A6JFQ6|CLVS1_RAT	tr|F1LRF3|F1LRF3_RAT Clavesin-1 OS=Rattus norvegicus OX=10116 GN=Clvs1 PE=4 SV=3;tr|A0A0G2K5H2|A0A0G2K5H2_RAT Clavesin-1 OS=Rattus norvegicus OX=10116 GN=Clvs1 PE=4 SV=1;sp|A6JFQ6|CLVS1_RAT Clavesin-1 OS=Rattus norvegicus OX=10116 GN=Clvs1 PE=1 SV=1	3	3	3	3	9	38.343	332	0	11.433	84998000	3	12.7682877252458	12.6944884813444	12.8011020571463	12.8832542313413	12.9609793309814	12.8091048991773	-0.0199471676146035	0.000395870807667842	-0.00722434797028076	0.062604885906601	0.00223448712194196	0.299034292895415	-0.130216436900391	0.163980456944908	0.999354675409622	FALSE
107	A6JUQ6	Clvs2	Clavesin-2	sp|A6JUQ6|CLVS2_RAT	sp|A6JUQ6|CLVS2_RAT	sp|A6JUQ6|CLVS2_RAT Clavesin-2 OS=Rattus norvegicus OX=10116 GN=Clvs2 PE=1 SV=1	1	2	2	2	9.5	37.916	327	0	27.511	73592000	2	13.9236988832951	13.8071536391775	13.9132634306288	13.8532120727156	13.9517400392696	13.7171408816367	0.0269556459054556	0.00455268411151305	-0.00357131901705571	-0.0759456172482759	-0.115513149119155	0.0985619308255352	0.0402779488472696	0.561792054921148	0.999354675409622	FALSE
108	F1LM82	Hnrnpa2b1	Heterogeneous nuclear ribonucleoproteins A2/B1	tr|F1LM82|F1LM82_RAT;tr|F1LNF1|F1LNF1_RAT;sp|A7VJC2|ROA2_RAT	tr|F1LM82|F1LM82_RAT;tr|F1LNF1|F1LNF1_RAT;sp|A7VJC2|ROA2_RAT	tr|F1LM82|F1LM82_RAT Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Rattus norvegicus OX=10116 GN=Hnrnpa2b1 PE=1 SV=3;tr|F1LNF1|F1LNF1_RAT Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Rattus norvegicus OX=10116 GN=Hnrnpa2b1 PE=1 SV=1;sp|A7VJC2|ROA2	3	8	8	8	32.6	32.468	301	0	61.1	444110000	9	14.8853150610494	15.0128427422082	14.1915219381281	14.2946207488916	14.496416909118	14.7287177145394	0.279445763383921	0.501115726866356	-0.434438871793509	-0.343663001348135	-0.279962339546546	0.401012703452399	0.189578418633017	0.549860088596554	0.999354675409622	FALSE
109	A8WCF8	Tprg1l	Tumor protein p63-regulated gene 1-like protein	sp|A8WCF8|TPRGL_RAT;tr|A0A0G2K272|A0A0G2K272_RAT	sp|A8WCF8|TPRGL_RAT;tr|A0A0G2K272|A0A0G2K272_RAT	sp|A8WCF8|TPRGL_RAT Tumor protein p63-regulated gene 1-like protein OS=Rattus norvegicus OX=10116 GN=Tprg1l PE=1 SV=1;tr|A0A0G2K272|A0A0G2K272_RAT Tumor protein p63-regulated gene 1-like protein OS=Rattus norvegicus OX=10116 GN=Tprg1l PE=1 SV=1	2	6	6	6	30.1	29.844	266	0	61.997	491410000	7	16.5724929958855	16.392384510832	16.5630174737482	16.5788886055456	16.6525649196107	16.2938128834519	0.0269875298773802	-0.0589786728524313	-0.00257950451606764	0.000968686963244147	-0.0634504973965656	0.0264717040222447	0.000479819639986026	0.992394575885422	0.999354675409622	FALSE
110	A9CMA6	Tmem163	Transmembrane protein 163	sp|A9CMA6|TM163_RAT	sp|A9CMA6|TM163_RAT	sp|A9CMA6|TM163_RAT Transmembrane protein 163 OS=Rattus norvegicus OX=10116 GN=Tmem163 PE=1 SV=1	1	7	7	7	29.9	31.344	288	0	323.31	814060000	17	16.0549010336053	15.9399464524587	16.0462927253777	16.0911874224671	16.2753970571162	15.9619922309289	-0.00283332335982522	-0.0236456221827704	-0.0315331438436333	0.00103861292770013	0.0471527491519761	0.182422160542252	-0.0962085373360523	0.150087757349671	0.999354675409622	FALSE
111	B0BN18	Pfdn2	Prefoldin subunit 2	sp|B0BN18|PFD2_RAT	sp|B0BN18|PFD2_RAT	sp|B0BN18|PFD2_RAT Prefoldin subunit 2 OS=Rattus norvegicus OX=10116 GN=Pfdn2 PE=2 SV=1	1	4	4	4	26	16.58	154	0	12.047	200890000	5	16.0505076492589	16.0473795655671	16.0793389402538	16.1439212542061	16.2809157281856	15.5523689050329	-0.0344852949747467	0.0565289036570919	-0.0257455162361027	0.0265138573980984	0.0254128329527799	-0.25445975262228	0.066277051572548	0.477006290760893	0.999354675409622	FALSE
112	B0BN56	Mrps31	28S ribosomal protein S31, mitochondrial	sp|B0BN56|RT31_RAT	sp|B0BN56|RT31_RAT	sp|B0BN56|RT31_RAT 28S ribosomal protein S31, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mrps31 PE=2 SV=1	1	8	8	8	22.5	43.961	387	0	33.506	294580000	9	16.0472304398918	15.9718354043393	16.1370912067873	16.0859910523416	16.2141673140935	15.8134304935511	-0.0118705914932914	0.00687665527789744	0.0578986631460168	-0.00552443161778826	-0.0154436682906914	0.0324937487445072	0.0137930260315318	0.760977092656871	0.999354675409622	FALSE
113	B0BN85	Sugt1	Protein SGT1 homolog	sp|B0BN85|SGT1_RAT;tr|F1LMY6|F1LMY6_RAT	sp|B0BN85|SGT1_RAT;tr|F1LMY6|F1LMY6_RAT	sp|B0BN85|SGT1_RAT Protein SGT1 homolog OS=Rattus norvegicus OX=10116 GN=Sugt1 PE=2 SV=1;tr|F1LMY6|F1LMY6_RAT Protein SGT1 homolog OS=Rattus norvegicus OX=10116 GN=Sugt1 PE=1 SV=1	2	6	6	6	23.5	38.09	336	0	37.678	232320000	7	15.4212430267245	15.2843903591658	15.5292170136206	15.4634285820882	15.5944120868222	14.9848634466338	-0.0015878426306325	-0.044298227865634	0.0862946320093046	0.00818326015881565	0.00107126646800804	-0.159803136142825	0.0636523903430131	0.371716593799297	0.999354675409622	FALSE
114	B0BN86	Tmem11	Transmembrane protein 11, mitochondrial	sp|B0BN86|TMM11_RAT;tr|A0A0G2JUS7|A0A0G2JUS7_RAT	sp|B0BN86|TMM11_RAT;tr|A0A0G2JUS7|A0A0G2JUS7_RAT	sp|B0BN86|TMM11_RAT Transmembrane protein 11, mitochondrial OS=Rattus norvegicus OX=10116 GN=Tmem11 PE=2 SV=1;tr|A0A0G2JUS7|A0A0G2JUS7_RAT Transmembrane protein 11, mitochondrial OS=Rattus norvegicus OX=10116 GN=Tmem11 PE=1 SV=1	2	5	5	5	25.8	21.341	190	0	30.407	875580000	7	15.7750186380346	15.6831316946236	15.7006835424761	15.7446236393436	15.8919735190256	15.4343024378196	0.0582013482779388	0.0604566871905586	-0.0362252595368055	-0.00460810298740655	0.00464627826973552	-0.00435056535859751	0.0289150553359868	0.552991073464773	0.999354675409622	FALSE
115	B0BN93	Psmd13	26S proteasome non-ATPase regulatory subunit 13	sp|B0BN93|PSD13_RAT	sp|B0BN93|PSD13_RAT	sp|B0BN93|PSD13_RAT 26S proteasome non-ATPase regulatory subunit 13 OS=Rattus norvegicus OX=10116 GN=Psmd13 PE=1 SV=1	1	10	10	10	36.7	42.817	376	0	89.894	415820000	15	16.5194366154411	16.3836536730755	16.4171437803533	16.5169618906315	16.642164540129	16.1670456628899	0.0460265221413738	0.00438586209944519	-0.0763578252026179	0.0111373447575184	-0.00175550416983539	-0.028200143831332	-0.0023757125727166	0.962734937198449	0.999354675409622	FALSE
