Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Prep35	Razor + unique peptides Prep35	Unique peptides Prep35	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 Prep35	Reporter intensity corrected 2 Prep35	Reporter intensity corrected 3 Prep35	Reporter intensity corrected 4 Prep35	Reporter intensity corrected 5 Prep35	Reporter intensity corrected 6 Prep35	Reporter intensity 1 Prep35	Reporter intensity 2 Prep35	Reporter intensity 3 Prep35	Reporter intensity 4 Prep35	Reporter intensity 5 Prep35	Reporter intensity 6 Prep35	Reporter intensity count 1 Prep35	Reporter intensity count 2 Prep35	Reporter intensity count 3 Prep35	Reporter intensity count 4 Prep35	Reporter intensity count 5 Prep35	Reporter intensity count 6 Prep35	Sequence coverage Prep35 [%]	Intensity	Intensity Prep35	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__Q1RMN8	CON__Q1RMN8	2	2	2		1	2	2	2	2	2	2	14.5	14.5	14.5	24.536	234	234	8.5					1							1	0	20.478	4113.6	5027	4207.3	3632.6	3827.5	4021	3764.8	4748	4368	3697.1	3965.3	3846.4	1	1	1	1	1	1	4113.6	5027	4207.3	3632.6	3827.5	4021	3764.8	4748	4368	3697.1	3965.3	3846.4	1	1	1	1	1	1	14.5	5242500	5242500	2			+	10	23309;28881	True;True	24074;29832	32549;40342	44311;54815	44311;54815		
REV__sp|D3ZAT9|FAXC_RAT	REV__sp|D3ZAT9|FAXC_RAT	1	1	1	sp|D3ZAT9|FAXC_RAT Failed axon connections homolog OS=Rattus norvegicus OX=10116 GN=Faxc PE=3 SV=1	1	1	1	1	1	1	1	0	0	0	46.838	409	409	7							1						0.0097812	6.1473	43508	30358	22549	22751	34091	28499	39798	28750	23814	23127	34629	27448	1	1	1	1	1	1	43508	30358	22549	22751	34091	28499	39798	28750	23814	23127	34629	27448	1	1	1	1	1	1	0	25032000	25032000	1		+		11	11689	True	12004	16474	22290	22290		
REV__sp|D3ZUC6|TOPZ1_RAT	REV__sp|D3ZUC6|TOPZ1_RAT	2	2	2	sp|D3ZUC6|TOPZ1_RAT Protein TOPAZ1 OS=Rattus norvegicus OX=10116 GN=Topaz1 PE=3 SV=2	1	2	2	2	2	2	2	0	0	0	184.59	1646	1646	5					2								0.0023283	10.734	38733	44133	25084	18720	36006	39203	35445	41524	27079	19513	36672	37466	3	3	3	3	3	3	38733	44133	25084	18720	36006	39203	35445	41524	27079	19513	36672	37466	3	3	3	3	3	3	0	16104000	16104000	3		+		12	13108;17461	True;True	13470;17941	18570;24363	25409;33216;33217	25409;33216		
REV__tr|Q6PDV6|Q6PDV6_RAT;REV__sp|P13471|RS14_RAT;REV__tr|D4A290|D4A290_RAT	REV__tr|Q6PDV6|Q6PDV6_RAT;REV__sp|P13471|RS14_RAT;REV__tr|D4A290|D4A290_RAT	1;1;1	1;1;1	1;1;1	tr|Q6PDV6|Q6PDV6_RAT 40S ribosomal protein S14 OS=Rattus norvegicus OX=10116 GN=LOC100911847 PE=1 SV=1;sp|P13471|RS14_RAT 40S ribosomal protein S14 OS=Rattus norvegicus OX=10116 GN=Rps14 PE=2 SV=3;tr|D4A290|D4A290_RAT Uncharacterized protein OS=Rattus norv	3	1	1	1	1	1	1	0	0	0	16.273	151	151;151;160	10										1			0.0060734	6.3488	25288	18921	17419	18729	17673	20993	23133	17957	18051	18799	18484	20019	1	1	1	1	1	1	25288	18921	17419	18729	17673	20993	23133	17957	18051	18799	18484	20019	1	1	1	1	1	1	0	26559000	26559000	1		+		13	1505	True	1528	2137	2951	2951		
REV__tr|Q6IMZ3|Q6IMZ3_RAT;REV__sp|P48037|ANXA6_RAT	REV__tr|Q6IMZ3|Q6IMZ3_RAT;REV__sp|P48037|ANXA6_RAT	1;1	1;1	1;1	tr|Q6IMZ3|Q6IMZ3_RAT Annexin OS=Rattus norvegicus OX=10116 GN=Anxa6 PE=1 SV=1;sp|P48037|ANXA6_RAT Annexin A6 OS=Rattus norvegicus OX=10116 GN=Anxa6 PE=1 SV=2	2	1	1	1	1	1	1	0	0	0	75.755	673	673;673	5					1								0.0083268	6.2306	9239.4	14359	14789	14055	13893	16516	8458.8	13588	15114	14209	14501	15749	1	1	1	1	1	1	9239.4	14359	14789	14055	13893	16516	8458.8	13588	15114	14209	14501	15749	1	1	1	1	1	1	0	33781000	33781000	1		+		14	11812	True	12133	16643	22511	22511		
REV__tr|A0A096MJ75|A0A096MJ75_RAT;REV__sp|Q4V7C6|GUAA_RAT;REV__tr|A0A0G2K2C2|A0A0G2K2C2_RAT	REV__tr|A0A096MJ75|A0A096MJ75_RAT;REV__sp|Q4V7C6|GUAA_RAT;REV__tr|A0A0G2K2C2|A0A0G2K2C2_RAT	1;1;1	1;1;1	1;1;1	tr|A0A096MJ75|A0A096MJ75_RAT GMP synthase [glutamine-hydrolyzing] (Fragment) OS=Rattus norvegicus OX=10116 GN=Gmps PE=1 SV=1;sp|Q4V7C6|GUAA_RAT GMP synthase [glutamine-hydrolyzing] OS=Rattus norvegicus OX=10116 GN=Gmps PE=1 SV=1;tr|A0A0G2K2C2|A0A0G2K2C2_RA	3	1	1	1	1	1	1	0	0	0	48.415	439	439;693;700	11											1		0.0099974	6.1313	19923	33031	17544	25146	12147	36122	18242	31002	19277	24730	14033	33959	1	1	1	1	1	1	19923	33031	17544	25146	12147	36122	18242	31002	19277	24730	14033	33959	1	1	1	1	1	1	0	31161000	31161000	1		+		15	4007	True	4088	5685	7775	7775		
REV__sp|Q642A5|DPOE3_RAT	REV__sp|Q642A5|DPOE3_RAT	1	1	1	sp|Q642A5|DPOE3_RAT DNA polymerase epsilon subunit 3 OS=Rattus norvegicus OX=10116 GN=Pole3 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	16.674	145	145	1	1												0.0090439	6.1848	7553.2	9453.8	8566.7	8189.2	8693.6	8174	6913	8937.7	8847.7	8286.8	8969.1	7843.5	2	2	2	2	2	2	7553.2	9453.8	8566.7	8189.2	8693.6	8174	6913	8937.7	8847.7	8286.8	8969.1	7843.5	2	2	2	2	2	2	0	62025000	62025000	2		+		16	20890	True	21600	29415	40212;40213	40212		
REV__sp|Q6AY08|AL2SB_RAT	REV__sp|Q6AY08|AL2SB_RAT	1	1	1	sp|Q6AY08|AL2SB_RAT Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 12 protein homolog OS=Rattus norvegicus OX=10116 GN=Als2cr12 PE=2 SV=1	1	1	1	1	1	1	1	0	0	0	48.491	411	411	2		1											1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	+	+		17	17834	True	18337	24905	33949	33949	4	138
REV__sp|Q6QI44|NAA25_RAT;REV__tr|A0A0G2K9Q3|A0A0G2K9Q3_RAT	REV__sp|Q6QI44|NAA25_RAT;REV__tr|A0A0G2K9Q3|A0A0G2K9Q3_RAT	1;1	1;1	1;1	sp|Q6QI44|NAA25_RAT N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Rattus norvegicus OX=10116 GN=Naa25 PE=2 SV=1;tr|A0A0G2K9Q3|A0A0G2K9Q3_RAT N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Rattus norvegicus OX=10116 GN=Naa25 PE=1 SV=1	2	1	1	1	1	1	1	0	0	0	111.26	970	970;972	1	1												1	-2	5443	3430	4638.9	2453.5	4505.9	3965.3	4978.5	3282.9	4639.8	2625.6	4559.9	3812.7	1	1	1	1	1	1	5443	3430	4638.9	2453.5	4505.9	3965.3	4978.5	3282.9	4639.8	2625.6	4559.9	3812.7	1	1	1	1	1	1	0	30048000	30048000	1	+	+		18	13214	True	13577	18734	25654	25654	5	834
REV__tr|F1LM21|F1LM21_RAT;REV__sp|Q7TN44|MRGB5_RAT	REV__tr|F1LM21|F1LM21_RAT;REV__sp|Q7TN44|MRGB5_RAT	1;1	1;1	1;1	tr|F1LM21|F1LM21_RAT Mas-related G-protein-coupled receptor member B5 OS=Rattus norvegicus OX=10116 GN=Mrgprb5 PE=3 SV=1;sp|Q7TN44|MRGB5_RAT Mas-related G-protein coupled receptor member B5 OS=Rattus norvegicus OX=10116 GN=Mrgprb5 PE=2 SV=1	2	1	1	1	1	1	1	0	0	0	40.126	353	353;353	2		1											1	-2	2844.7	1553.3	2442.8	2102.5	2017.8	2440.8	2601.8	1494.2	2439.4	2136.9	2110.4	2326.6	1	1	1	1	1	1	2844.7	1553.3	2442.8	2102.5	2017.8	2440.8	2601.8	1494.2	2439.4	2136.9	2110.4	2326.6	1	1	1	1	1	1	0	273510000	273510000	1	+	+		19	29224	True	30188	40823	55465	55465	6	262
REV__tr|A0A0G2JST8|A0A0G2JST8_RAT;REV__sp|Q7TNL4|STK40_RAT	REV__tr|A0A0G2JST8|A0A0G2JST8_RAT;REV__sp|Q7TNL4|STK40_RAT	1;1	1;1	1;1	tr|A0A0G2JST8|A0A0G2JST8_RAT Serine/threonine-protein kinase 40 OS=Rattus norvegicus OX=10116 GN=Stk40 PE=4 SV=1;sp|Q7TNL4|STK40_RAT Serine/threonine-protein kinase 40 OS=Rattus norvegicus OX=10116 GN=Stk40 PE=2 SV=1	2	1	1	1	1	1	1	0	0	0	48.99	435	435;435	11											1		1	-2	4044.8	3318.5	3153	4443.1	2734.5	4917.9	3700.4	3148.4	3276	4382.5	2988.8	4652.3	1	1	1	1	1	1	4044.8	3318.5	3153	4443.1	2734.5	4917.9	3700.4	3148.4	3276	4382.5	2988.8	4652.3	1	1	1	1	1	1	0	3527400	3527400	1	+	+		20	25575	True	26409	35646	48389	48389	7	233
REV__tr|A0A0G2K9J1|A0A0G2K9J1_RAT;REV__sp|Q7TP47|HNRPQ_RAT;REV__tr|M0R735|M0R735_RAT	REV__tr|A0A0G2K9J1|A0A0G2K9J1_RAT;REV__sp|Q7TP47|HNRPQ_RAT;REV__tr|M0R735|M0R735_RAT	1;1;1	1;1;1	1;1;1	tr|A0A0G2K9J1|A0A0G2K9J1_RAT Heterogeneous nuclear ribonucleoprotein Q OS=Rattus norvegicus OX=10116 GN=Syncrip PE=1 SV=1;sp|Q7TP47|HNRPQ_RAT Heterogeneous nuclear ribonucleoprotein Q OS=Rattus norvegicus OX=10116 GN=Syncrip PE=2 SV=1;tr|M0R735|M0R735_RAT 	3	1	1	1	1	1	1	0	0	0	59.692	533	533;533;562	2		1											0.0087969	6.1936	3479.2	2844.6	2979.3	2780.2	2502.1	3878.4	3182.9	2703	3047.7	2809.4	2655.5	3678.2	2	2	2	2	2	2	3479.2	2844.6	2979.3	2780.2	2502.1	3878.4	3182.9	2703	3047.7	2809.4	2655.5	3678.2	2	2	2	2	2	2	0	6480500	6480500	2		+		21	28155	True	29086	39295	53302;53303	53302		
REV__tr|F1LPZ6|F1LPZ6_RAT;REV__sp|Q8VHN2|NMD3B_RAT	REV__tr|F1LPZ6|F1LPZ6_RAT;REV__sp|Q8VHN2|NMD3B_RAT	1;1	1;1	1;1	tr|F1LPZ6|F1LPZ6_RAT Glutamate receptor ionotropic, NMDA 3B OS=Rattus norvegicus OX=10116 GN=Grin3b PE=3 SV=2;sp|Q8VHN2|NMD3B_RAT Glutamate receptor ionotropic, NMDA 3B OS=Rattus norvegicus OX=10116 GN=Grin3b PE=1 SV=2	2	1	1	1	1	1	1	0	0	0	109.13	1002	1002;1002	8								1					1	-2	4252.5	4018.8	3482	3370.7	3268.1	4690.7	3890.9	3803.7	3615.2	3403.3	3443.4	4455	1	1	1	1	1	1	4252.5	4018.8	3482	3370.7	3268.1	4690.7	3890.9	3803.7	3615.2	3403.3	3443.4	4455	1	1	1	1	1	1	0	307540000	307540000	1	+	+		22	21925	True	22658	30786	42036	42036	8	259
REV__tr|M0RD70|M0RD70_RAT;REV__sp|Q9ES66|CAN10_RAT	REV__tr|M0RD70|M0RD70_RAT;REV__sp|Q9ES66|CAN10_RAT	1;1	1;1	1;1	tr|M0RD70|M0RD70_RAT Calpain-10 OS=Rattus norvegicus OX=10116 GN=Capn10 PE=3 SV=1;sp|Q9ES66|CAN10_RAT Calpain-10 OS=Rattus norvegicus OX=10116 GN=Capn10 PE=2 SV=1	2	1	1	1	1	1	1	0	0	0	69.141	620	620;666	4				2									0.0065911	6.3299	137900	100030	99588	84202	84789	141710	126140	95072	102170	85738	89919	134210	3	3	3	3	3	3	137900	100030	99588	84202	84789	141710	126140	95072	102170	85738	89919	134210	3	3	3	3	3	3	0	153890000	153890000	3		+		23	26914	True	27800	37608;37609	51013;51014;51015	51015		
