Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Prep31	Razor + unique peptides Prep31	Unique peptides Prep31	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 Prep31	Reporter intensity corrected 2 Prep31	Reporter intensity corrected 3 Prep31	Reporter intensity corrected 4 Prep31	Reporter intensity corrected 5 Prep31	Reporter intensity corrected 6 Prep31	Reporter intensity 1 Prep31	Reporter intensity 2 Prep31	Reporter intensity 3 Prep31	Reporter intensity 4 Prep31	Reporter intensity 5 Prep31	Reporter intensity 6 Prep31	Reporter intensity count 1 Prep31	Reporter intensity count 2 Prep31	Reporter intensity count 3 Prep31	Reporter intensity count 4 Prep31	Reporter intensity count 5 Prep31	Reporter intensity count 6 Prep31	Sequence coverage Prep31 [%]	Intensity	Intensity Prep31	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__Q1RMK2;CON__ENSEMBL:ENSBTAP00000011227;CON__ENSEMBL:ENSBTAP00000033053	CON__Q1RMK2	3;1;1	3;1;1	3;1;1		3	3	3	3	3	3	3	5.4	5.4	5.4	65.056	597	597;137;139	8.67							1		1	1			0	4.792	9261.6	9748.1	7948.8	9768.7	9067.5	6487.2	8474.8	9212.2	8329.1	9742.1	9335	6283	1	1	1	1	1	1	9261.6	9748.1	7948.8	9768.7	9067.5	6487.2	8474.8	9212.2	8329.1	9742.1	9335	6283	1	1	1	1	1	1	5.4	43861000	43861000	3			+	10	1652;7541;10066	True;True;True	1698;7834;10449	2529;11413;15150	3445;15590;20723	3445;15590;20723		
CON__Q1RMN8	CON__Q1RMN8	4	4	4		1	4	4	4	4	4	4	24.8	24.8	24.8	24.536	234	234	5.75			1	2								1	0	64.635	37984	38761	35664	40507	39443	31316	34756	36698	36935	40573	40631	30215	5	5	5	5	5	5	37984	38761	35664	40507	39443	31316	34756	36698	36935	40573	40631	30215	5	5	5	5	5	5	24.8	102560000	102560000	6			+	11	472;11528;26403;32440	True;True;True;True	475;11988;27630;33961	703;17404;39267;48284	968;23824;53557;53558;65857;65858	968;23824;53557;65857		
CON__Q9Z2K1;CON__Q3ZAW8;tr|A0A0G2JXJ9|A0A0G2JXJ9_RAT;sp|Q6IFX0|K1C25_RAT;sp|Q6IFV3|K1C15_RAT;sp|Q6IFW8|K1C27_RAT;CON__Q7Z3Z0;CON__A2A4G1;CON__Q7Z3Y8;tr|Q6IFU9|Q6IFU9_RAT;CON__Q7Z3Y9;CON__P02533;CON__P08779;sp|Q6IFV1|K1C14_RAT;CON__Q7Z3Y7	CON__Q9Z2K1;CON__Q3ZAW8;tr|A0A0G2JXJ9|A0A0G2JXJ9_RAT;sp|Q6IFX0|K1C25_RAT;sp|Q6IFV3|K1C15_RAT;sp|Q6IFW8|K1C27_RAT;CON__Q7Z3Z0;CON__A2A4G1;CON__Q7Z3Y8;tr|Q6IFU9|Q6IFU9_RAT;CON__Q7Z3Y9;CON__P02533;CON__P08779;sp|Q6IFV1|K1C14_RAT;CON__Q7Z3Y7	2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;0;0;0;0;0;0;0;0;0;0;0;0;0	1;1;0;0;0;0;0;0;0;0;0;0;0;0;0	;;tr|A0A0G2JXJ9|A0A0G2JXJ9_RAT Keratin, type I cytoskeletal 14 OS=Rattus norvegicus OX=10116 GN=Krt14 PE=1 SV=1;sp|Q6IFX0|K1C25_RAT Keratin, type I cytoskeletal 25 OS=Rattus norvegicus OX=10116 GN=Krt25 PE=3 SV=1;sp|Q6IFV3|K1C15_RAT Keratin, type I cytoske	15	2	1	1	2	1	1	3.8	1.9	1.9	51.606	469	469;474;442;446;447;449;450;456;459;463;468;472;473;485;486	7			1								1		0.0046718	1.6948	11768	13081	10029	10810	10877	10223	10769	12348	10539	10861	11247	9810	2	2	2	2	2	2	11768	13081	10029	10810	10877	10223	10769	12348	10539	10861	11247	9810	2	2	2	2	2	2	3.8	297380000	297380000	2			+	12	30781;31745	True;False	32236;33239	45785;45786;47186	62361;62362;64267	62361;64267		
REV__CON__ENSEMBL:ENSBTAP00000018574	REV__CON__ENSEMBL:ENSBTAP00000018574	1	1	1		1	1	1	1	1	1	1	0	0	0	55.207	496	496	8								2					0.0035638	1.8547	328590	343140	303040	329260	355980	261270	300680	324640	314600	331100	364330	252800	3	3	3	3	3	3	328590	343140	303040	329260	355980	261270	300680	324640	314600	331100	364330	252800	3	3	3	3	3	3	0	370300000	370300000	5		+	+	13	1557	True	1600	2323;2324	3107;3108;3109;3110;3111	3108		
REV__sp|Q5BJY9|K1C18_RAT;REV__CON__P05784	REV__sp|Q5BJY9|K1C18_RAT;REV__CON__P05784	1;1	1;1	1;1	sp|Q5BJY9|K1C18_RAT Keratin, type I cytoskeletal 18 OS=Rattus norvegicus OX=10116 GN=Krt18 PE=1 SV=3;	2	1	1	1	1	1	1	0	0	0	47.761	423	423;423	12												2	0.0014591	2.1082	19327	18717	18690	21802	19788	16890	17684	17749	19249	21786	20492	16256	2	2	2	2	2	2	19327	18717	18690	21802	19788	16890	17684	17749	19249	21786	20492	16256	2	2	2	2	2	2	0	21038000	21038000	2		+	+	14	6740	True	6990	10313;10314	14175;14176	14176		
REV__tr|A0A0G2K9J8|A0A0G2K9J8_RAT;REV__sp|A1A5P5|ARMC9_RAT;REV__tr|F1M3U9|F1M3U9_RAT	REV__tr|A0A0G2K9J8|A0A0G2K9J8_RAT;REV__sp|A1A5P5|ARMC9_RAT;REV__tr|F1M3U9|F1M3U9_RAT	1;1;1	1;1;1	1;1;1	tr|A0A0G2K9J8|A0A0G2K9J8_RAT LisH domain-containing protein ARMC9 OS=Rattus norvegicus OX=10116 GN=Armc9 PE=4 SV=1;sp|A1A5P5|ARMC9_RAT LisH domain-containing protein ARMC9 OS=Rattus norvegicus OX=10116 GN=Armc9 PE=2 SV=1;tr|F1M3U9|F1M3U9_RAT LisH domain-co	3	1	1	1	1	1	1	0	0	0	73.305	641	641;730;818	11											1		1	-2	2031	1967.2	2230.1	2787.1	2073.7	1863.1	1858.3	1869.5	2279.6	2768.7	2173	1790.3	1	1	1	1	1	1	2031	1967.2	2230.1	2787.1	2073.7	1863.1	1858.3	1869.5	2279.6	2768.7	2173	1790.3	1	1	1	1	1	1	0	60785000	60785000	1	+	+		15	4889	True	5069	7514	10309	10309	1	584
REV__tr|A0A0G2K1X6|A0A0G2K1X6_RAT;REV__tr|G3V984|G3V984_RAT;REV__sp|O88778|BSN_RAT	REV__tr|A0A0G2K1X6|A0A0G2K1X6_RAT;REV__tr|G3V984|G3V984_RAT;REV__sp|O88778|BSN_RAT	2;2;2	2;2;2	2;2;2	tr|A0A0G2K1X6|A0A0G2K1X6_RAT Protein bassoon OS=Rattus norvegicus OX=10116 GN=Bsn PE=4 SV=1;tr|G3V984|G3V984_RAT Protein bassoon OS=Rattus norvegicus OX=10116 GN=Bsn PE=4 SV=1;sp|O88778|BSN_RAT Protein bassoon OS=Rattus norvegicus OX=10116 GN=Bsn PE=1 SV=3	3	2	2	2	2	2	2	0	0	0	321.39	2994	2994;3933;3938	7					1				1				0.0026373	1.9382	34434	33389	32290	36329	27821	27250	31506	31646	33312	36274	29189	26117	1	1	1	1	1	1	34434	33389	32290	36329	27821	27250	31506	31646	33312	36274	29189	26117	1	1	1	1	1	1	0	287030000	287030000	2		+		16	12305;17243	True;True	12797;17947	18524;25840	25328;35374	25328;35374		
REV__tr|F1LND7|F1LND7_RAT;REV__sp|P05369|FPPS_RAT;REV__tr|A0A0G2JXT3|A0A0G2JXT3_RAT;REV__tr|Q7TPK0|Q7TPK0_RAT	REV__tr|F1LND7|F1LND7_RAT;REV__sp|P05369|FPPS_RAT;REV__tr|A0A0G2JXT3|A0A0G2JXT3_RAT;REV__tr|Q7TPK0|Q7TPK0_RAT	1;1;1;1	1;1;1;1	1;1;1;1	tr|F1LND7|F1LND7_RAT Farnesyl pyrophosphate synthase OS=Rattus norvegicus OX=10116 GN=Fdps PE=1 SV=3;sp|P05369|FPPS_RAT Farnesyl pyrophosphate synthase OS=Rattus norvegicus OX=10116 GN=Fdps PE=2 SV=2;tr|A0A0G2JXT3|A0A0G2JXT3_RAT Farnesyl pyrophosphate synt	4	1	1	1	1	1	1	0	0	0	40.803	353	353;353;420;879	11											1		0.0071396	1.524	32147	35829	28678	36638	36118	20686	29418	33839	30117	36514	36896	20227	1	1	1	1	1	1	32147	35829	28678	36638	36118	20686	29418	33839	30117	36514	36896	20227	1	1	1	1	1	1	0	59646000	59646000	1		+		17	32761	True	34300	48794	66541	66541		
REV__sp|P53534|PYGB_RAT;REV__tr|G3V6Y6|G3V6Y6_RAT	REV__sp|P53534|PYGB_RAT;REV__tr|G3V6Y6|G3V6Y6_RAT	1;1	1;1	1;1	sp|P53534|PYGB_RAT Glycogen phosphorylase, brain form (Fragment) OS=Rattus norvegicus OX=10116 GN=Pygb PE=1 SV=3;tr|G3V6Y6|G3V6Y6_RAT Alpha-1,4 glucan phosphorylase OS=Rattus norvegicus OX=10116 GN=Pygb PE=1 SV=2	2	1	1	1	1	1	1	0	0	0	96.173	838	838;846	2	1		1										0.0042303	1.7551	969.7	784.16	648.24	0	186.9	2059.2	887.11	742.62	665.26	0	253.45	1922.3	1	1	1	0	1	1	969.7	784.16	648.24	0	186.9	2059.2	887.11	742.62	665.26	0	253.45	1922.3	1	1	1	0	1	1	0	927140000	927140000	2		+		18	27140	True	28396	40270;40271	54858;54859	54859		
REV__sp|P97846|CNTP1_RAT	REV__sp|P97846|CNTP1_RAT	1	1	1	sp|P97846|CNTP1_RAT Contactin-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Cntnap1 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	155.87	1381	1381	3			1										1	-2	19185	20528	16279	22078	22902	18991	17555	19390	17136	21970	23558	18295	1	1	1	1	1	1	19185	20528	16279	22078	22902	18991	17555	19390	17136	21970	23558	18295	1	1	1	1	1	1	0	635940000	635940000	1	+	+		19	22736	True	23837	34284	47180	47180	2	354
REV__tr|F1LN14|F1LN14_RAT;REV__sp|Q5M824|SHC1_RAT;REV__tr|G3V8S2|G3V8S2_RAT	REV__tr|F1LN14|F1LN14_RAT;REV__sp|Q5M824|SHC1_RAT;REV__tr|G3V8S2|G3V8S2_RAT	1;1;1	1;1;1	1;1;1	tr|F1LN14|F1LN14_RAT SHC-transforming protein 1 OS=Rattus norvegicus OX=10116 GN=Shc1 PE=1 SV=1;sp|Q5M824|SHC1_RAT SHC-transforming protein 1 OS=Rattus norvegicus OX=10116 GN=Shc1 PE=1 SV=1;tr|G3V8S2|G3V8S2_RAT SHC-transforming protein 1 OS=Rattus norvegic	3	1	1	1	1	1	1	0	0	0	51.487	469	469;469;579	4				1									1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12930000	12930000	1	+	+		20	18611	True	19360	27745	37933	37933	3	214
REV__sp|Q5QD51|AKA12_RAT	REV__sp|Q5QD51|AKA12_RAT	2	2	2	sp|Q5QD51|AKA12_RAT A-kinase anchor protein 12 OS=Rattus norvegicus OX=10116 GN=Akap12 PE=1 SV=1	1	2	2	2	2	2	2	0	0	0	181.11	1687	1687	7				1				1	1				1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549200000	549200000	3	+	+		21	13569;24968	True;True	14120;26129	20379;20380;37301	27876;27877;51061	27877;51061	4	1200
REV__sp|Q5RKI0|WDR1_RAT	REV__sp|Q5RKI0|WDR1_RAT	1	1	1	sp|Q5RKI0|WDR1_RAT WD repeat-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Wdr1 PE=1 SV=3	1	1	1	1	1	1	1	0	0	0	66.181	606	606	6						1							0.0099819	1.3935	16012	18768	15029	18546	22290	11889	14654	17720	15767	18579	22559	11666	1	1	1	1	1	1	16012	18768	15029	18546	22290	11889	14654	17720	15767	18579	22559	11666	1	1	1	1	1	1	0	51485000	51485000	1		+		22	15767	True	16415	23794	32668	32668		
REV__sp|Q9JHZ4|GRAP1_RAT	REV__sp|Q9JHZ4|GRAP1_RAT	1	1	1	sp|Q9JHZ4|GRAP1_RAT GRIP1-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Gripap1 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	96.073	837	837	4				1									0.0075845	1.5095	5028.2	6998.6	4613.7	4386.6	3226.8	2926.5	4602.7	6587.2	4906.9	4415.6	3384.5	2811.3	1	1	1	1	1	1	5028.2	6998.6	4613.7	4386.6	3226.8	2926.5	4602.7	6587.2	4906.9	4415.6	3384.5	2811.3	1	1	1	1	1	1	0	17610000	17610000	1		+		23	6941	True	7197	10575	14504	14504	5	484
REV__tr|A0A0H2UHN8|A0A0H2UHN8_RAT;REV__sp|Q9QUL0|PR3C1_RAT	REV__tr|A0A0H2UHN8|A0A0H2UHN8_RAT;REV__sp|Q9QUL0|PR3C1_RAT	1;1	1;1	1;1	tr|A0A0H2UHN8|A0A0H2UHN8_RAT Prolactin-3C1 OS=Rattus norvegicus OX=10116 GN=Prl3c1 PE=3 SV=1;sp|Q9QUL0|PR3C1_RAT Prolactin-3C1 OS=Rattus norvegicus OX=10116 GN=Prl3c1 PE=2 SV=1	2	1	1	1	1	1	1	0	0	0	23.315	201	201;211	12												1	0.0082305	1.4654	22604	23584	20878	24166	24045	18001	20684	22313	21697	24192	24707	17404	2	2	2	2	2	2	22604	23584	20878	24166	24045	18001	20684	22313	21697	24192	24707	17404	2	2	2	2	2	2	0	724310000	724310000	2		+		24	8274	True	8594	12464	16979;16980	16979		
REV__tr|Q68G14|Q68G14_RAT;REV__sp|Q9QY16|DDX25_RAT	REV__tr|Q68G14|Q68G14_RAT;REV__sp|Q9QY16|DDX25_RAT	1;1	1;1	1;1	tr|Q68G14|Q68G14_RAT ATP-dependent RNA helicase DDX25 OS=Rattus norvegicus OX=10116 GN=Ddx25 PE=1 SV=1;sp|Q9QY16|DDX25_RAT ATP-dependent RNA helicase DDX25 OS=Rattus norvegicus OX=10116 GN=Ddx25 PE=1 SV=2	2	1	1	1	1	1	1	0	0	0	54.763	483	483;483	7							1						1	-2	46706	45073	38145	44557	47195	36720	42734	42640	39816	44637	48418	35453	1	1	1	1	1	1	46706	45073	38145	44557	47195	36720	42734	42640	39816	44637	48418	35453	1	1	1	1	1	1	0	113250000	113250000	1	+	+		25	17038	True	17730	25550	34987	34987	6	37
REV__tr|G3V676|G3V676_RAT;REV__tr|A0A0G2K6R4|A0A0G2K6R4_RAT;REV__sp|Q9QYM0|MRP5_RAT	REV__tr|G3V676|G3V676_RAT;REV__tr|A0A0G2K6R4|A0A0G2K6R4_RAT;REV__sp|Q9QYM0|MRP5_RAT	1;1;1	1;1;1	1;1;1	tr|G3V676|G3V676_RAT Multidrug resistance-associated protein 5 OS=Rattus norvegicus OX=10116 GN=Abcc5 PE=4 SV=3;tr|A0A0G2K6R4|A0A0G2K6R4_RAT Multidrug resistance-associated protein 5 OS=Rattus norvegicus OX=10116 GN=Abcc5 PE=4 SV=1;sp|Q9QYM0|MRP5_RAT Multi	3	1	1	1	1	1	1	0	0	0	160.3	1434	1434;1436;1436	5		2		1								1	0.0062674	1.6016	44956	42371	41026	46381	41223	37948	41132	40168	42330	46398	42833	36437	4	4	4	4	4	4	44956	42371	41026	46381	41223	37948	41132	40168	42330	46398	42833	36437	4	4	4	4	4	4	0	1671800000	1671800000	5		+		26	25823	True	27014	38467;38468;38469;38470	52555;52556;52557;52558;52559	52555		
REV__tr|A0A096MJ77|A0A096MJ77_RAT;REV__tr|A0A0G2K9L9|A0A0G2K9L9_RAT	REV__tr|A0A096MJ77|A0A096MJ77_RAT;REV__tr|A0A0G2K9L9|A0A0G2K9L9_RAT	1;1	1;1	1;1	tr|A0A096MJ77|A0A096MJ77_RAT Uncharacterized protein (Fragment) OS=Rattus norvegicus OX=10116 PE=1 SV=1;tr|A0A0G2K9L9|A0A0G2K9L9_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=1 SV=1	2	1	1	1	1	1	1	0	0	0	298.95	2665	2665;4197	11											2		0.0064995	1.5908	5546	5526.8	5760.2	6076.1	5022.5	6463.2	5074.6	5243.5	5901.5	6092.4	5304.2	6152.3	2	2	2	2	2	2	5546	5526.8	5760.2	6076.1	5022.5	6463.2	5074.6	5243.5	5901.5	6092.4	5304.2	6152.3	2	2	2	2	2	2	0	409480000	409480000	2		+		27	21223	True	22257	31871;31872	43620;43621	43621		
REV__tr|A0A096MJA7|A0A096MJA7_RAT;REV__tr|D3ZS92|D3ZS92_RAT	REV__tr|A0A096MJA7|A0A096MJA7_RAT;REV__tr|D3ZS92|D3ZS92_RAT	2;2	2;2	2;2	tr|A0A096MJA7|A0A096MJA7_RAT Rotatin (Fragment) OS=Rattus norvegicus OX=10116 GN=Rttn PE=4 SV=1;tr|D3ZS92|D3ZS92_RAT Rotatin OS=Rattus norvegicus OX=10116 GN=Rttn PE=4 SV=3	2	2	2	2	2	2	2	0	0	0	181.15	1626	1626;1629	5			1				1						0.0069252	1.5355	49199	58700	54948	66738	56431	22894	45026	55537	56867	66496	57723	22827	1	1	1	1	1	1	49199	58700	54948	66738	56431	22894	45026	55537	56867	66496	57723	22827	1	1	1	1	1	1	0	167760000	167760000	2		+		28	3193;5853	True;True	3301;6071	4761;9036	6432;12448	6432;12448		
